,silica_concentrate
971,5.035048543689446
653,1.1800000000000046
399,2.1100000000000088
511,2.680000000000006
320,1.340000000000003
19,1.4900000000000038
684,1.3700000000000032
35,4.859999999999999
902,2.600000000000008
827,1.59
1634,1.4900000000000038
407,1.7099999999999989
920,1.4799999999999964
537,2.560000000000002
758,1.8199999999999947
1062,2.3199999999999945
1199,1.8600000000000083
245,3.1000000000000103
1127,1.6800000000000053
784,2.220000000000009
1587,1.4499999999999953
489,4.889999999999989
154,1.8999999999999968
961,1.8500000000000023
853,0.969999999999999
1311,4.070000000000011
625,1.990000000000005
685,1.4300000000000048
1422,1.6699999999999977
569,1.0399999999999994
1729,1.2599999999999971
17,3.089999999999992
127,3.960000000000004
1346,1.009999999999999
1279,1.6100000000000074
1785,1.7900000000000025
927,1.8799999999999968
980,2.7200000000000126
1781,2.920000000000004
190,2.269999999999996
1139,1.0399999999999994
992,1.2700000000000038
1772,1.8700000000000032
1511,1.030000000000001
606,2.600000000000008
180,1.8399999999999967
301,1.529999999999999
496,3.7200000000000166
1547,1.409999999999997
1560,1.5099999999999962
1516,1.25
1494,1.0800000000000034
517,3.98000000000001
1801,1.349999999999996
1069,1.8700000000000032
476,1.6299999999999968
157,2.2799999999999905
1243,3.440000000000008
1195,1.0800000000000034
16,3.789999999999998
1072,1.6800000000000053
1788,2.060000000000002
546,1.77
658,1.5500000000000052
1803,4.078195558297223
1019,1.0999999999999963
1517,1.2400000000000029
959,1.990000000000005
1709,3.7100000000000017
283,4.639999999999989
797,1.1599999999999973
1483,3.480000000000009
225,1.6500000000000004
26,1.0399999999999994
1611,1.3600000000000063
437,4.434999999999999
1766,1.5699999999999947
1388,1.910000000000004
229,2.879999999999997
37,3.230000000000008
749,1.2100000000000015
1045,2.0699999999999945
1398,2.1299999999999963
469,3.370000000000004
1544,0.979999999999998
1784,1.8799999999999968
687,1.300000000000004
1675,2.240000000000005
639,1.1200000000000028
1563,4.805720221606666
1218,4.830000000000013
1158,4.289999999999994
1415,1.560000000000002
1510,1.1399999999999952
1300,2.870000000000003
1657,1.5399999999999994
800,1.3199999999999952
160,2.3799999999999963
956,1.5699999999999947
1186,1.169999999999996
821,3.814350721418888
1541,1.0
877,1.4799999999999964
913,1.3199999999999952
152,2.339999999999992
1669,2.149999999999995
509,3.459999999999999
1135,4.190000000000016
1250,2.25
1518,1.2299999999999964
103,3.0099999999999936
1445,1.2599999999999971
1443,1.2299999999999964
586,1.5999999999999988
1609,1.3600000000000063
1143,1.0999999999999963
53,2.120000000000004
151,4.139999999999989
403,1.289999999999998
1761,4.337614424410555
207,5.120000000000004
1718,1.3700000000000032
1122,2.399999999999993
1594,1.4399999999999984
8,4.46388139627222
1014,1.529999999999999
1633,1.720000000000004
1060,2.0799999999999987
452,1.289999999999998
253,1.5399999999999994
1327,1.2599999999999971
896,2.930000000000004
1580,3.220000000000015
880,1.349999999999996
1713,1.8399999999999967
623,1.0900000000000027
345,3.5299583622499995
1554,1.8399999999999967
262,3.4900000000000064
1321,2.189999999999998
1438,1.300000000000004
150,5.029999999999981
472,2.3199999999999945
640,1.2599999999999971
1799,3.766090573012778
1710,1.990000000000005
550,1.4499999999999953
928,1.7400000000000044
488,4.169999999999991
1647,3.25
1171,1.6200000000000032
146,2.8500000000000094
1556,1.2700000000000038
1748,1.1500000000000037
402,4.29999999999999
954,1.6200000000000032
1774,3.0
659,1.1599999999999973
1372,1.8199999999999947
463,1.9499999999999935
1349,1.5399999999999994
186,4.039999999999996
1147,2.189999999999998
1224,1.4199999999999944
608,1.1899999999999982
143,2.6499999999999915
751,1.219999999999999
1534,1.2299999999999964
981,1.939999999999998
197,3.5899999999999976
883,1.8999999999999968
279,4.289999999999994
293,5.029999999999981
1658,1.3199999999999952
400,2.6600000000000104
122,2.3799999999999963
1207,3.2900000000000027
202,4.596915336571112
1462,1.340000000000003
835,1.5699999999999947
246,1.970000000000007
1439,2.8399999999999985
1810,1.3700000000000032
1708,1.1299999999999972
1153,1.4399999999999984
1426,2.1299999999999963
384,1.7400000000000044
1600,1.4499999999999953
854,1.009999999999999
219,2.730000000000006
641,1.529999999999999
1,3.2900000000000027
112,2.7200000000000126
698,1.2700000000000038
1735,2.3899999999999904
951,2.0699999999999945
1593,1.4199999999999944
1410,1.3799999999999968
1409,1.5
1533,1.0200000000000022
1291,1.8199999999999947
1644,1.1200000000000028
441,3.820764765271108
1520,1.009999999999999
1136,1.2299999999999964
1256,1.3300000000000052
1693,1.5800000000000034
1397,1.1200000000000028
663,0.9300000000000042
1668,1.910000000000004
1257,3.6100000000000105
1614,1.349999999999996
317,0.9499999999999986
648,1.5399999999999994
1434,1.0699999999999956
1479,1.660000000000001
709,1.2100000000000015
1382,1.3300000000000052
1282,3.0
972,5.104951456310555
627,1.300000000000004
632,1.2100000000000015
1306,1.7900000000000025
1400,2.009999999999995
1408,2.0699999999999945
1248,2.2900000000000063
1770,1.7299999999999995
1254,1.1800000000000046
1496,1.1999999999999966
1371,1.2700000000000038
1529,1.400000000000004
1354,1.59
1745,1.4399999999999984
1723,1.8500000000000023
1680,1.340000000000003
795,1.2599999999999971
645,1.529999999999999
1012,1.8700000000000032
1671,2.240000000000005
556,1.8999999999999968
681,1.0600000000000018
577,1.8600000000000083
1109,2.6700000000000044
1266,1.9300000000000053
